
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000001,-0.000219,1.003133,-0.000022,0.001997,0.421111,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:42,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:42,1.000000,0.560000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230023 ,,Modbus Addr., 3 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 131"
Sensor Name,FCR DO 1m  (3),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_DO_1m_2018-08-06,,Exported,"Aqua4Plus 1.9.10"
# Records,  1347 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,25.125,7.679,12.549,2.750,24.870,
,Maximum,30.750,14.749,13.950,7.960,28.400,
,Mean,27.057,14.367,13.343,6.865,26.367,
,Variance,1.2537,1.4682,0.2201,0.5732,0.4592,
,Std Deviation,1.1197,1.2117,0.4691,0.7571,0.6777,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,6-Aug-18 14:00:00,29.000,14.689,13.861,7.960,27.390
2,6-Aug-18 14:15:00,29.063,14.678,13.861,7.360,27.390
3,6-Aug-18 14:30:00,29.375,14.678,13.861,7.280,27.440
4,6-Aug-18 14:45:00,29.625,14.675,13.861,7.400,27.350
5,6-Aug-18 15:00:00,29.875,14.677,13.861,7.410,27.530
6,6-Aug-18 15:15:00,30.000,14.676,13.861,7.370,27.750
7,6-Aug-18 15:30:00,30.188,14.666,13.861,7.310,27.860
8,6-Aug-18 15:45:00,30.313,14.670,13.891,7.380,27.900
9,6-Aug-18 16:00:00,30.438,14.666,13.861,7.490,27.700
10,6-Aug-18 16:15:00,30.625,14.676,13.861,7.530,27.620
11,6-Aug-18 16:30:00,30.750,14.671,13.741,7.560,27.600
12,6-Aug-18 16:45:00,30.625,14.665,13.831,7.520,27.510
13,6-Aug-18 17:00:00,30.625,14.667,13.503,7.500,27.360
14,6-Aug-18 17:15:00,30.500,14.670,13.443,7.590,27.190
15,6-Aug-18 17:30:00,30.313,14.676,13.503,7.520,26.970
16,6-Aug-18 17:45:00,30.125,14.675,13.473,7.580,26.600
17,6-Aug-18 18:00:00,30.000,14.679,13.473,7.670,26.430
18,6-Aug-18 18:15:00,29.813,14.679,13.473,7.640,26.500
19,6-Aug-18 18:30:00,29.625,14.673,13.503,7.570,26.380
20,6-Aug-18 18:45:00,29.500,14.676,13.503,7.660,26.480
21,6-Aug-18 19:00:00,29.375,14.672,13.503,7.670,26.400
22,6-Aug-18 19:15:00,29.313,14.673,13.503,7.640,26.330
23,6-Aug-18 19:30:00,29.188,14.672,13.503,7.670,26.280
24,6-Aug-18 19:45:00,29.125,14.681,13.473,7.630,26.280
25,6-Aug-18 20:00:00,29.000,14.689,13.294,7.640,26.300
26,6-Aug-18 20:15:00,28.875,14.688,13.116,7.590,26.510
27,6-Aug-18 20:30:00,28.813,14.690,13.086,7.500,26.670
28,6-Aug-18 20:45:00,28.750,14.681,13.026,7.490,26.670
29,6-Aug-18 21:00:00,28.688,14.682,12.966,7.420,26.630
