"Reservoir","Site","DateTime","Secchi_m","Flag_Secchi","Notes"
"BVR",50,2013-08-30 12:00:00,2.3,0,NA
"BVR",50,2014-04-30 12:00:00,3,0,NA
"BVR",50,2014-05-14 12:00:00,3.5,0,NA
"BVR",50,2014-05-29 12:00:00,3.5,0,NA
"BVR",50,2014-06-04 12:00:00,4.4,0,NA
"BVR",50,2014-06-18 12:00:00,4.2,0,NA
"BVR",50,2014-06-25 12:00:00,4.7,0,NA
"BVR",50,2014-07-02 12:00:00,3,0,NA
"BVR",50,2014-07-09 12:00:00,2.5,0,NA
"BVR",50,2014-07-30 12:00:00,2.5,0,NA
"BVR",50,2014-08-13 12:00:00,2.6,0,NA
"BVR",50,2014-09-04 12:00:00,3.8,0,NA
"BVR",50,2014-09-25 12:00:00,3.3,0,NA
"BVR",50,2015-05-28 12:00:00,3.9,0,NA
"BVR",50,2015-06-04 12:00:00,3.4,0,NA
"BVR",50,2015-06-11 12:00:00,3.3,0,NA
"BVR",50,2015-06-18 12:00:00,3.2,0,NA
"BVR",50,2015-06-25 12:00:00,2.5,0,NA
"BVR",50,2015-07-02 12:00:00,2.6,0,NA
"BVR",50,2015-07-09 12:00:00,2.9,0,NA
"BVR",50,2015-07-16 12:00:00,2.8,0,NA
"BVR",50,2015-07-23 12:00:00,2.7,0,NA
"BVR",50,2015-07-30 12:00:00,2.6,0,NA
"BVR",50,2015-08-13 12:00:00,2.5,0,NA
"BVR",50,2015-08-20 12:00:00,2.5,0,NA
"BVR",50,2016-04-05 12:00:00,2.21,0,NA
"BVR",50,2016-04-20 12:00:00,2.49,0,NA
"BVR",50,2016-04-23 12:00:00,1.74,0,NA
"BVR",50,2016-05-04 12:00:00,3.08,0,NA
"BVR",50,2016-05-12 12:00:00,4.04,0,NA
"BVR",50,2016-05-19 12:00:00,3.25,0,NA
"BVR",50,2016-05-26 12:00:00,3.45,0,NA
"BVR",50,2016-05-29 12:00:00,2.76,0,NA
"BVR",50,2016-05-31 12:00:00,3.02,0,NA
"BVR",50,2016-06-02 12:00:00,4.2,0,NA
"BVR",50,2016-06-08 12:00:00,3.9,0,NA
"BVR",50,2016-06-16 12:00:00,3.3,0,NA
"BVR",50,2016-06-23 12:00:00,3.9,0,NA
"BVR",50,2016-06-26 12:00:00,2.79,0,NA
"BVR",50,2016-06-28 12:00:00,3.5,0,NA
"BVR",50,2016-06-30 12:00:00,3.06,0,NA
"BVR",50,2016-07-07 12:00:00,3.08,0,NA
"BVR",50,2016-07-14 12:00:00,3.1,0,NA
"BVR",50,2016-07-21 12:00:00,2.7,0,NA
"BVR",50,2016-07-24 12:00:00,2.3,0,NA
"BVR",50,2016-07-28 12:00:00,2.47,0,NA
"BVR",50,2016-08-04 12:00:00,1.79,0,NA
"BVR",50,2016-08-11 12:00:00,1.9,0,NA
"BVR",50,2016-08-18 12:00:00,2.65,0,NA
"BVR",50,2016-08-23 12:00:00,2.87,0,NA
"BVR",50,2016-09-06 12:00:00,2.13,0,NA
"BVR",50,2016-09-27 12:00:00,2.21,0,NA
"BVR",50,2016-10-11 12:00:00,2.3,0,NA
"BVR",50,2016-10-25 12:00:00,2.24,0,NA
"CCR",50,2013-08-30 12:00:00,2.5,0,NA
"CCR",50,2014-04-20 13:00:00,2.5,0,NA
"CCR",50,2014-05-02 11:00:00,2.5,0,NA
"CCR",50,2014-05-08 09:30:00,3.3,0,NA
"CCR",50,2014-05-15 09:15:00,2.4,0,NA
"CCR",50,2014-05-27 11:00:00,3.8,0,NA
"CCR",50,2014-06-04 09:15:00,4.3,0,NA
"CCR",50,2014-06-12 09:30:00,4.3,0,NA
"CCR",50,2014-06-26 09:45:00,4.5,0,NA
"CCR",50,2014-07-03 09:00:00,4.3,0,NA
"CCR",50,2014-07-24 10:30:00,5,0,NA
"CCR",50,2014-08-07 13:30:00,4.5,0,NA
"CCR",50,2014-08-21 09:30:00,3.1,0,NA
"CCR",50,2014-09-05 09:30:00,5.2,0,NA
"CCR",50,2014-09-19 14:00:00,3.5,0,NA
"CCR",50,2014-10-03 15:30:00,3.6,0,NA
"CCR",50,2014-10-24 14:00:00,3,0,NA
"CCR",50,2015-05-08 12:00:00,3.2,0,NA
"CCR",50,2015-05-22 12:00:00,3.5,0,NA
"CCR",50,2015-05-29 12:00:00,4.8,0,NA
"CCR",50,2015-06-12 12:00:00,4.6,0,NA
"CCR",50,2015-06-26 12:00:00,4.5,0,NA
"CCR",50,2015-07-10 12:00:00,4.2,0,NA
"CCR",50,2015-07-24 12:00:00,5.25,0,NA
"CCR",50,2015-08-07 12:00:00,4.6,0,NA
"CCR",50,2015-08-26 12:00:00,4.6,0,NA
"CCR",50,2015-09-09 12:00:00,4.9,0,NA
"CCR",50,2015-09-23 12:00:00,3.2,0,NA
"CCR",50,2015-10-28 12:00:00,3,0,NA
"CCR",50,2016-05-13 09:42:00,3.5,0,NA
"CCR",50,2016-05-27 12:00:00,3.3,0,NA
"CCR",50,2016-05-27 12:15:00,3.3,0,NA
"CCR",50,2016-05-27 20:25:00,2.9,0,NA
"CCR",50,2016-05-28 00:45:00,2,0,NA
"CCR",50,2016-05-28 01:45:00,2,0,NA
"CCR",50,2016-05-28 06:00:00,3.05,0,NA
"CCR",50,2016-05-28 11:15:00,3.6,0,NA
"CCR",50,2016-05-28 12:00:00,3.6,0,NA
"CCR",50,2016-06-11 12:00:00,3.8,0,NA
"CCR",50,2016-06-29 10:05:00,4.5,0,NA
"CCR",50,2016-07-15 10:05:00,5.6,0,NA
"CCR",50,2016-07-29 10:21:00,4.5,0,NA
"CCR",50,2016-08-12 12:45:00,5.4,0,NA
"CCR",50,2016-08-12 20:15:00,3.5,0,NA
"CCR",50,2016-08-13 00:55:00,2.6,0,NA
"CCR",50,2016-08-13 01:45:00,2.5,0,NA
"CCR",50,2016-08-13 06:30:00,4.35,0,NA
"CCR",50,2016-08-13 10:30:00,5.2,0,NA
"CCR",50,2016-08-29 09:15:00,4.9,0,NA
"CCR",50,2016-09-12 08:46:00,4.3,0,NA
"CCR",50,2016-09-26 09:44:00,3.8,0,NA
"CCR",50,2016-10-10 09:24:00,3.1,0,NA
"FCR",50,2014-04-08 12:00:00,2.5,0,NA
"FCR",50,2014-04-16 12:00:00,2.7,0,NA
"FCR",50,2014-04-21 12:00:00,2.5,0,NA
"FCR",50,2014-04-27 12:00:00,3.5,0,NA
"FCR",50,2014-05-05 12:00:00,2.75,0,NA
"FCR",50,2014-05-12 12:00:00,2.5,0,NA
"FCR",50,2014-05-26 12:00:00,2.75,0,NA
"FCR",50,2014-06-02 12:00:00,2.75,0,NA
"FCR",50,2014-06-09 12:00:00,2.7,0,NA
"FCR",50,2014-06-16 12:00:00,3,0,NA
"FCR",50,2014-06-23 12:00:00,3,0,NA
"FCR",50,2014-06-30 12:00:00,3.25,0,NA
"FCR",50,2014-07-14 12:00:00,3.25,0,NA
