Reservoir,Year,Date,Secchi_m,Comments
FCR,2016,2016-01-11 12:00:00,2.11,
FCR,2016,2016-02-05 12:00:00,2.6,
FCR,2016,2016-03-23 12:00:00,2.45,
FCR,2016,2016-03-28 12:00:00,2.5,
FCR,2016,2016-03-30 12:00:00,3,
FCR,2016,2016-04-11 12:00:00,2.43,
FCR,2016,2016-04-18 12:00:00,3.12,
FCR,2016,2016-05-02 12:00:00,2.96,
FCR,2016,2016-05-09 12:00:00,1.92,
FCR,2016,2016-05-12 12:00:00,2.13,
FCR,2016,2016-05-16 12:00:00,3.2,
FCR,2016,2016-05-19 12:00:00,3.1,
FCR,2016,2016-05-23 12:00:00,3.4,
FCR,2016,2016-05-26 12:00:00,2.94,
FCR,2016,2016-05-30 12:00:00,2.48,
FCR,2016,2016-05-31 12:00:00,2.45,star next to secchi #
FCR,2016,2016-06-02 12:00:00,2.2,
FCR,2016,2016-06-06 12:00:00,1.72,
FCR,2016,2016-06-13 12:00:00,2.3,
FCR,2016,2016-06-20 12:00:00,2.23,
FCR,2016,2016-06-27 12:00:00,2.03,secchi #2
FCR,2016,2016-06-28 12:00:00,2.26,
FCR,2016,2016-06-30 12:00:00,2.03,
FCR,2016,2016-07-05 12:00:00,2.32,
FCR,2016,2016-07-11 12:00:00,2.69,
FCR,2016,2016-07-18 12:00:00,2.23,
FCR,2016,2016-07-25 12:00:00,2.67,
FCR,2016,2016-07-27 12:00:00,2.46,
FCR,2016,2016-07-28 12:00:00,2.64,
FCR,2016,2016-08-01 12:00:00,2.72,
FCR,2016,2016-08-08 12:00:00,3.14,
FCR,2016,2016-08-15 12:00:00,3.3,
FCR,2016,2016-08-26 12:00:00,2.14,
FCR,2016,2016-09-02 12:00:00,1.67,
FCR,2016,2016-09-09 12:00:00,2.1,
FCR,2016,2016-09-20 12:00:00,2.08,
FCR,2016,2016-09-30 12:00:00,1.5,
FCR,2016,2016-10-07 12:00:00,1.45,
FCR,2016,2016-10-14 12:00:00,1.68,
